Year,GDP,Inflation,Unemployment
2000,99.4848023445277,4.36666451291681,0.614
2001,97.14561847990379,3.14826144590618,0.611
2002,97.9233028093537,3.29034472613153,0.615
2003,112.371913740823,2.91413470059479,0.612
2004,132.216048339413,7.44462469342739,0.598
2005,145.208562960767,9.06332737030417,0.583
2006,161.87138550635999,7.92108440058789,0.582
2007,184.14086999746,7.59868441050774,0.398
2008,202.203748583854,20.2861210929554,0.423
2009,187.337783856466,13.6477650639761,0.535
2010,196.709621849586,12.9388705634889,0.653
2011,230.586581059665,11.9160927116277,0.796
2012,250.10696610470401,9.68235186055684,3.667
2013,258.65723167241197,7.69215611899565,2.954
2014,271.390474857632,7.18938402847028,1.827
2015,299.963590534773,2.52932817254229,3.566
2016,313.630000130435,3.7651191635658,2.285
2017,339.2055348611,4.08537368032608,3.204
2018,356.128166704921,5.07805725868917,4.083
2019,320.909472770669,10.5783618004555,4.83
2020,300.425609817981,9.73999313898155,5.994
2021,348.516647445148,9.49621056124947,6.338
2022,374.890295666694,19.8738599646655,5.291
2023,336.686348609266,30.7681280657005,5.237
2024,371.570000121266,12.6325318530452,5.492
